plctract10,tweetpopratio
0107000-01073000100,0.004930966469428008
0107000-01073000300,0.010237659963436929
0107000-01073000400,0.015877771120431396
0107000-01073000500,0.007332402234636872
0107000-01073000700,0.013581684128831975
0107000-01073000800,0.01684374190204716
0107000-01073001100,0.015502428091146806
0107000-01073001200,0.028859527121001392
0107000-01073001400,0.004585052728106373
0107000-01073001500,0.004390090937597993
0107000-01073001600,0.007374631268436578
0107000-01073001902,0.03695881731784583
0107000-01073002000,0.007207207207207207
0107000-01073002100,0.00973006905210295
0107000-01073002200,0.0022813688212927757
0107000-01073002303,0.0030653950953678476
0107000-01073002305,0.012195121951219513
0107000-01073002306,0.007675775253300584
0107000-01073002400,0.018462386332322955
0107000-01073002700,0.049849699398797596
0107000-01073002900,0.016472868217054265
0107000-01073003001,0.024345064831966128
0107000-01073003002,0.004993191103041307
0107000-01073003100,0.005224085784987627
0107000-01073003200,0.04833512352309345
0107000-01073003300,0.03167898627243928
0107000-01073003400,0.004844570044408559
0107000-01073003500,0.0014388489208633094
0107000-01073003600,0.008114456544949819
0107000-01073003700,0.00513529527947857
0107000-01073003802,0.0046219264189314106
0107000-01073003803,0.006430102405334604
0107000-01073003900,0.0061693774537296695
0107000-01073004000,0.005567338282078473
0107000-01073004200,0.009824861170439982
0107000-01073004500,0.06256246252248651
0107000-01073004701,0.01235632183908046
0107000-01073004702,0.006793478260869565
0107000-01073004800,5.373455131649651E-4
0107000-01073004901,0.030848329048843187
0107000-01073004902,0.017800381436745075
0107000-01073005000,0.01234922458357266
0107000-01073005103,0.005411673753382296
0107000-01073005104,0.011801457827143353
0107000-01073005200,0.011497326203208556
0107000-01073005302,0.006930407161420733
0107000-01073005500,0.010964912280701754
0107000-01073005600,0.008472635676665903
0107000-01073005701,0.006323777403035413
0107000-01073005702,0.001464986815118664
0107000-01073005800,0.021347248576850095
0107000-01073005903,0.011757551185890938
0107000-01073005907,0.010632911392405063
0107000-01073005908,0.010487353485502776
0107000-01073005909,0.029714738510301108
0107000-01073010706,0.009162303664921465
0107000-01073010801,0.041666666666666664
0107000-01073010802,0.0872093023255814
0107000-01073011104,0.002369668246445498
0107000-01073011107,0.09523809523809523
0107000-01073011108,0.7777777777777778
0107000-01073011207,0.001226993865030675
0107000-01073011209,0.014124293785310734
0107000-01073011210,0.008664259927797834
0107000-01073011803,0.0010775862068965517
0107000-01073011804,0.011235955056179775
0107000-01073011901,0.16666666666666666
