Heart Beat 0.8~2.5hz from Avg,Peak Hz in 2.6~10hz,Peak Hz in 21~30hz,Peak Hz in 31~40hz,Peak Hz in 41~50hz,RMS avg,Zero crossing rate avg,Spectral flatness avg,Spectral rolloff avg,Spectral centroid avg,Poly features avg,Spectral bandwidth avg,Not Normal
69.0,5.5,23.33,31.0,43.67,0.2528,0.028,0.0202,3931.6415,3655.5029,0.8441,5149.4551,1
78.0,3.12,30.0,40.0,43.25,0.1949,0.0372,0.0211,5369.9529,4887.3982,0.695,6042.2007,0
78.0,3.0,24.71,39.5,41.5,0.206,0.0275,0.0148,5252.5443,4598.1605,0.6629999999999999,6013.8062,1
76.0,4.0,25.0,40.0,50.0,0.2054,0.07200000000000001,0.047,7429.2183,7041.156999999998,1.1817,6818.1680000000015,0
83.0,5.78,22.4,38.78,45.0,0.244,0.0008,0.0,71.4086,128.8602,0.4138,605.7551,1
82.0,6.0,26.0,37.4,46.0,0.2539,0.0013,0.0,72.5249,130.6257,0.4349,600.0443,0
75.0,6.12,23.88,40.0,49.75,0.2299,0.0423,0.0258,6426.0823,5796.0671,0.9369,6385.6767,0
79.0,10.0,21.09,40.0,43.0,0.2813,0.0764,0.0676,5556.098000000001,5706.2273,1.9134,5553.6838,1
71.0,3.0,26.0,37.0,50.0,0.3111,0.017,0.0138,2613.0217,2380.4616,0.9283,4423.1727,0
86.0,9.09,29.67,40.0,43.67,0.3109,0.0597,0.0499,5209.9116,5016.2431,1.6762,5553.5699,0
79.0,9.1,26.5,36.0,50.0,0.2565,0.0009,0.0,96.7716,147.998,0.4341,623.3123,0
83.0,6.0,30.0,34.38,45.75,0.2195,0.0425,0.0248,6508.9343,5974.1852,0.8806,6485.1432,0
86.0,3.0,25.12,40.0,47.44,0.1906,0.0244,0.0104,5342.5278,4564.8693,0.5465,6166.3718,1
73.0,7.0,30.0,35.0,41.0,0.19,0.0424,0.0211,6538.1594,5847.1872,0.6881,6555.1387,0
80.0,6.0,30.0,36.0,50.0,0.2009,0.0289,0.0161,5303.3936,4649.6131,0.6449,6116.2743,1
70.0,3.0,26.12,35.0,48.0,0.2271,0.0221,0.0125,4491.5204,3952.0604,0.6559,5555.7867,1
81.0,3.0,24.5,33.57,42.43,0.2035,0.0556,0.0397,6579.2238,5980.8607,1.0353,6496.4923,1
92.0,4.0,23.33,39.71,41.5,0.2212,0.0353,0.0225,4739.5686,4232.857,0.8236,4682.7387,0
94.0,3.7,30.0,36.0,41.67,0.1796,0.0345,0.0163,6633.9151,5703.6169,0.5981,6663.8258,0
