Heart Beat 0.8~2.5hz from Avg,Peak Hz in 2.6~10hz,Peak Hz in 21~30hz,Peak Hz in 31~40hz,Peak Hz in 41~50hz,RMS avg,Zero crossing rate avg,Spectral flatness avg,Spectral rolloff avg,Spectral centroid avg,Poly features avg,Spectral bandwidth avg,Not Normal
69.0,5.5,23.33,31.0,43.67,0.2528,0.027999999999999997,0.0202,3931.6415,3655.5029,0.8441,5149.4551,1
78.0,3.12,30.0,40.0,43.25,0.1949,0.0372,0.0211,5369.9529,4887.3982,0.695,6042.2007,0
78.0,3.0,24.71,39.5,41.5,0.20600000000000002,0.0275,0.0148,5252.5443,4598.1605,0.6629999999999999,6013.8062,1
76.0,4.0,25.0,40.0,50.0,0.2054,0.07200000000000001,0.047,7429.2183,7041.156999999997,1.1817,6818.168000000002,0
83.0,5.78,22.4,38.78,45.0,0.244,0.0008,0.0,71.4086,128.8602,0.4138,605.7551,1
82.0,6.0,26.0,37.4,46.0,0.2539,0.0013,0.0,72.5249,130.6257,0.4349,600.0443,0
75.0,6.12,23.88,40.0,49.75,0.2299,0.0423,0.0258,6426.0823,5796.0671,0.9369,6385.6767,0
79.0,10.0,21.09,40.0,43.0,0.2813,0.0764,0.0676,5556.098000000001,5706.2273,1.9134,5553.6838,1
71.0,3.0,26.0,37.0,50.0,0.3111,0.017,0.0138,2613.0217,2380.4616,0.9283,4423.1727,0
86.0,9.09,29.67,40.0,43.67,0.3109,0.0597,0.0499,5209.9116,5016.2431,1.6762,5553.5699,0
79.0,9.1,26.5,36.0,50.0,0.2565,0.0009,0.0,96.7716,147.998,0.4341,623.3123,0
83.0,6.0,30.0,34.38,45.75,0.2195,0.0425,0.0248,6508.9343,5974.1852,0.8806,6485.1432,0
86.0,3.0,25.12,40.0,47.44,0.1906,0.0244,0.0104,5342.5278,4564.8693,0.5465,6166.3718,1
73.0,7.0,30.0,35.0,41.0,0.19,0.0424,0.0211,6538.1594,5847.1872,0.6881,6555.1387,0
80.0,6.0,30.0,36.0,50.0,0.2009,0.0289,0.0161,5303.3936,4649.6131,0.6449,6116.2743,1
70.0,3.0,26.12,35.0,48.0,0.2271,0.0221,0.0125,4491.5204,3952.0604,0.6559,5555.7867,1
81.0,3.0,24.5,33.57,42.43,0.2035,0.0556,0.0397,6579.2238,5980.8607,1.0353,6496.4923,1
92.0,4.0,23.33,39.71,41.5,0.2212,0.0353,0.0225,4739.5686,4232.857,0.8236,4682.7387,0
94.0,3.7,30.0,36.0,41.67,0.1796,0.0345,0.0163,6633.9151,5703.6169,0.5981,6663.8258,0
73.67050749287831,0.29513413358944796,32.40588813735362,31.482805942862306,40.58735136893496,0.17608380895088546,0.09150911639112556,0.05549133470790776,6295.7167670651415,2870.9837824405945,0.9785095603493654,4307.443794936211,0
71.14669541143832,2.482019609865548,34.13934507891751,37.16536807357255,52.57376468835877,0.2494913005196453,0.032628872103929715,0.04294338567045473,5554.960895305417,5243.493263521525,1.154802252196938,4713.967651118689,1
77.30776953867114,-0.0440582793023756,28.964306355203416,39.78668135898892,43.34599758077453,0.2855672754573341,0.09007370598190712,0.060809978215189506,4422.726499822289,3469.4240344096597,0.5884902269345043,5113.781425575897,0
72.19620469417517,4.004642893605277,29.868611666621263,31.68168359331647,45.8997104175072,0.2630836974256344,0.052247447363297936,0.008851453790396705,5644.459043872481,5850.961660150259,0.9347682831668579,5579.243771162375,1
64.43420361334016,3.545856361635528,27.97523807104801,29.628769130650596,42.6198003481902,0.20419895860500287,0.08449056885857874,0.05395955490621275,6573.813179413706,5954.55528905603,0.6580488334890625,1167.2138502832113,0
87.23676512533197,1.145531537668114,26.635676838610568,28.379788247023576,52.12244002266983,0.21816387884095353,0.0835759099257298,0.06098089843551047,5098.422358393895,2849.535827734462,0.9321414276509074,6775.378226657476,0
79.51041273898345,7.560424127105126,34.66024459742356,33.283680451314744,40.49580468522965,0.148779810447053,-0.005623603693088744,0.03930907769955718,8573.879170645712,3749.9436905213206,1.278177672419867,3901.092148899758,1
99.91738559358296,5.981906594479655,23.80804651911778,29.58499289277804,54.655374230505984,0.26307088152402575,0.061029011606514035,0.009980333964662275,7897.730197220275,6518.364362543053,1.269935421723951,3327.1320678707393,1
81.73104824913685,0.3197618196562484,32.42447347733998,32.588849290423255,52.43713380124215,0.20533741070929748,0.06756971450113339,0.0027078700339253966,4887.511975802914,3571.8765601833124,0.8380144586554945,3659.6724774795503,1
92.82857286515897,6.819568220842333,29.795638928524987,32.006824612720855,50.5470304346062,0.17049843036743723,0.09261881467329024,0.04452619092708321,8474.561646209602,4151.982282605444,0.8804159261512253,4845.690172817812,1
84.17983377113707,4.213143039557535,25.361418784889608,30.897984084795347,41.96689701729125,0.34090594290689763,0.08268481452238022,0.027716725449784936,6006.143690203692,4014.1354124637305,0.9727203648146534,3358.867003348531,0
77.77316324395505,0.10535779345289775,32.57990534139441,35.91288742004706,47.83363934189807,0.33119776902125586,0.07432711599790731,-0.01583424485232608,6723.208357125678,4654.607000021373,1.1961295730867008,5014.23835670158,0
66.55462955496174,3.79168984612263,27.187335409713242,37.44995103945396,46.73696400147147,0.1997560460180086,0.0955866121697245,0.07112450684041194,7129.911640797126,3996.6493709023744,1.0127394558729332,5252.122064706333,0
70.22007586816821,4.024474762049467,28.494418641365908,37.05088170241988,49.21093766364598,0.2734753807386281,0.09667281258710227,0.03948602833677807,6239.66755713267,1855.1902885960462,0.8292149510099499,5637.906724332737,0
74.90593991662888,3.081662091631534,25.824834185568786,37.48899213108472,50.02064247886148,0.2478306215283333,0.07831702010125481,0.00906292972665387,8179.581380524651,3455.4489908492287,0.6753133082696137,6263.117972448936,0
70.15505888004803,1.691478179119816,34.36619653358666,32.928651929645206,43.077454957751996,0.24753025597719625,0.0640982711859179,0.02397942821273208,5747.713806162906,7108.118134013307,1.15022195706066,5445.704152199085,0
82.0226734766524,5.262774090278098,32.09166209347805,31.230695177975548,49.535473762806525,0.1996138601680048,0.043934830820866355,0.03651970953824485,8735.11598691906,6408.844813212758,0.9141854357678221,5260.490764506656,1
63.671792262242334,3.150957424841275,27.19795908147738,35.816894502563905,42.14135933639109,0.22758955259247052,0.09433121904407024,-0.00018663428193269396,7216.280193699259,1338.6113356463245,0.26104814865646103,5091.352378749649,0
66.0124418358279,1.0629267958206592,30.64785796498675,35.05861666083885,46.19093833792883,0.17288848098228238,0.00504105528974047,0.01667647986397567,5633.447077185362,4596.430951515305,0.5360255345196843,629.7686309928265,1
78.26460235930848,1.638277571297317,30.924207909866865,35.63991846635372,52.803790652071626,0.23746002565148927,0.014846876659201907,0.031720167717835715,6177.951966970458,1916.9161585771267,0.7773403899779714,3155.7436076203217,1
72.61822688912794,1.5727332723644762,33.69549692779948,31.6806433432456,51.38670807868236,0.17908576615191502,0.054652162373937344,0.015412083618859262,7548.696437308564,8115.058852412376,0.7595833348375574,5250.680390655472,1
71.94732811259783,3.941593689350454,26.637991111769107,32.26379622867138,44.26155867569619,0.22550547080085034,0.032674793520924665,0.024754798630571104,6194.645794474384,3845.966577584908,0.7666194442859576,5776.389099291568,0
70.78402168340678,1.9778332617331822,29.431271959257025,33.7318053211309,52.61401397155901,0.20831518583201747,0.06543760401858612,0.03303275964488225,6154.886461846036,4544.099242970502,0.6449583950251996,4579.57846785177,0
86.48813635601516,5.484333201140805,28.178867894103508,36.53517368119301,47.032573886112466,0.26885293362910184,0.06569476218586173,0.028695510150755603,8983.26223566804,3330.96878060152,1.0922648020619898,6765.290686180739,0
79.15147679107906,1.055603815728508,31.33297916816946,34.7256361378097,46.938342808711255,0.20825969812975892,0.0915241334057454,0.0016994165370875954,6055.724465929512,4292.477783530418,1.0569807016630224,6362.815857369475,1
80.31749278923705,1.3075329198274521,28.464656733624615,33.52516770998322,48.500726135343086,0.17229197496919874,0.07418137569423221,0.0022461850128150454,6773.181526964334,3024.9849274592307,2.0196407311026876,3199.6555644646305,1
