Age Group,Sex,Sub,Poly features avg
Age_A,Female,Sub 25,0.8441
Age_A,Female,Sub 28,0.695
Age_A,Female,Sub 32,0.663
Age_A,Female,Sub 35,1.1817
Age_A,Female,Sub 44,0.4138
Age_A,Female,Sub 46,0.4349
Age_A,Female,Sub 63,0.521
Age_A,Female,Sub 64,0.7337
Age_A,Female,Sub 66,0.3962
Age_A,Female,Sub 69,0.4435
Age_A,Female,Sub 70,0.4432
Age_A,Female,Sub 72,0.4439
Age_A,Female,Sub 73,0.4672
Age_A,Female,Sub 74,0.4744
Age_A,Female,Sub 8,1.2192
Age_A,Female,sub 59,0.4987
Age_A,Male,Sub 36,0.9369
Age_A,Male,Sub 38,1.9134
Age_A,Male,Sub 42,0.9283
Age_A,Male,Sub 43,1.6762
Age_A,Male,Sub 45,0.4341
Age_A,Male,Sub 65,0.5521
Age_A,Male,Sub 67,0.4337
Age_A,Male,Sub 68,0.5157
Age_A,Male,Sub 70,0.4432
Age_A,Male,Sub 73,0.4672
Age_A,Male,Sub 74,0.4744
Age_A,Male,Sub 76,0.3683
Age_A,Male,Sub 77,0.5377
Age_B,Female,Sub 21,0.8806
Age_B,Female,Sub 22,0.5465
Age_B,Female,Sub 27,0.6881
Age_B,Female,Sub 61,0.312
Age_B,Male,Sub 23,0.6449
Age_B,Male,Sub 4,0.6559
Age_C,Female,Sub 1,1.0353
Age_C,Female,Sub 47,0.8236
Age_C,Female,Sub 60,0.2711
Age_C,Male,Sub 41,0.5981
Age_C,Male,Sub 66,0.3962
