Age Group,Sex,Sub,Spectral bandwidth avg
Age_A,Female,Sub 25,5149.4551
Age_A,Female,Sub 28,6042.2007
Age_A,Female,Sub 32,6013.8062
Age_A,Female,Sub 35,6818.168
Age_A,Female,Sub 44,605.7551
Age_A,Female,Sub 46,600.0443
Age_A,Female,Sub 63,561.6759
Age_A,Female,Sub 64,724.3033
Age_A,Female,Sub 66,621.8385
Age_A,Female,Sub 69,596.2964
Age_A,Female,Sub 70,541.3982
Age_A,Female,Sub 72,692.9851
Age_A,Female,Sub 73,592.6702
Age_A,Female,Sub 74,551.8996
Age_A,Female,Sub 8,5725.9312
Age_A,Female,sub 59,633.5237
Age_A,Male,Sub 36,6385.6767
Age_A,Male,Sub 38,5553.6838
Age_A,Male,Sub 42,4423.1727
Age_A,Male,Sub 43,5553.5699
Age_A,Male,Sub 45,623.3123
Age_A,Male,Sub 65,558.7557
Age_A,Male,Sub 67,542.9851
Age_A,Male,Sub 68,569.3799
Age_A,Male,Sub 70,541.3982
Age_A,Male,Sub 73,592.6702
Age_A,Male,Sub 74,551.8996
Age_A,Male,Sub 76,648.3034
Age_A,Male,Sub 77,557.5989
Age_B,Female,Sub 21,6485.1432
Age_B,Female,Sub 22,6166.3718
Age_B,Female,Sub 27,6555.1387
Age_B,Female,Sub 61,731.3211
Age_B,Male,Sub 23,6116.2743
Age_B,Male,Sub 4,5555.7867
Age_C,Female,Sub 1,6496.4923
Age_C,Female,Sub 47,4682.7387
Age_C,Female,Sub 60,702.614
Age_C,Male,Sub 41,6663.8258
Age_C,Male,Sub 66,621.8385
